"Order","Family","Genus","Species","Cycle","SocialGrpSize","TrophicLevel"
"Didelphimorphia","Didelphidae","Caluromysiops","Caluromysiops irrupta","Nocturnal",1,"Omnivore"
"Lagomorpha","Leporidae","Caprolagus","Caprolagus hispidus","Nocturnal",2,"Herbivore"
"Primates","Cebidae","Cebus","Cebus albifrons","Diurnal",25,"Omnivore"
"Primates","Cebidae","Cebus","Cebus apella","Diurnal",7.9,"Omnivore"
"Primates","Cebidae","Cebus","Cebus capucinus","Diurnal",18.15,"Omnivore"
"Primates","Cebidae","Cebus","Cebus olivaceus","Diurnal",11.45,"Omnivore"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus dorsalis","Nocturnal",1,"Omnivore"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus maxwellii","Crepuscular",1.95,"Omnivore"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus monticola","Diurnal",1.9,"Omnivore"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus natalensis","Diurnal",2,"Herbivore"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus rufilatus","Diurnal",1,"Omnivore"
"Artiodactyla","Bovidae","Cephalophus","Cephalophus silvicultor","Crepuscular",1,"Omnivore"
"Rodentia","Muridae","Clethrionomys","Clethrionomys gapperi","Nocturnal",1,"Omnivore"
"Rodentia","Erethizontidae","Coendou","Coendou bicolor","Nocturnal",2,"Herbivore"
"Rodentia","Erethizontidae","Coendou","Coendou prehensilis","Nocturnal",1,"Herbivore"
"Primates","Cercopithecidae","Colobus","Colobus angolensis","Diurnal",10.9,"Herbivore"
"Primates","Cercopithecidae","Colobus","Colobus guereza","Diurnal",7.6,"Herbivore"
"Primates","Cercopithecidae","Colobus","Colobus polykomos","Diurnal",13.1,"Herbivore"
"Primates","Cercopithecidae","Colobus","Colobus satanas","Diurnal",15.5,"Herbivore"
"Primates","Cercopithecidae","Cercocebus","Cercocebus galeritus","Diurnal",20.35,"Herbivore"
"Primates","Cercopithecidae","Cercocebus","Cercocebus torquatus","Diurnal",26.9,"Herbivore"
"Primates","Cercopithecidae","Cercopithecus","Cercopithecus ascanius","Diurnal",26.3,"Omnivore"
"Primates","Cercopithecidae","Cercopithecus","Cercopithecus campbelli","Diurnal",11,"Herbivore"
"Primates","Cercopithecidae","Cercopithecus","Cercopithecus cephus","Diurnal",11,"Omnivore"
"Primates","Cercopithecidae","Cercopithecus","Cercopithecus diana","Diurnal",24.95,"Omnivore"
"Primates","Cercopithecidae","Cercopithecus","Cercopithecus lhoesti","Diurnal",17.4,"Omnivore"
"Primates","Cercopithecidae","Cercopithecus","Cercopithecus mitis","Diurnal",16,"Omnivore"
"Primates","Cercopithecidae","Cercopithecus","Cercopithecus neglectus","Diurnal",4.5,"Omnivore"
"Primates","Cercopithecidae","Cercopithecus","Cercopithecus nictitans","Diurnal",16,"Omnivore"
"Primates","Cercopithecidae","Cercopithecus","Cercopithecus pogonias","Diurnal",15,"Omnivore"
"Primates","Cercopithecidae","Cercopithecus","Cercopithecus preussi","Diurnal",3,"Omnivore"
"Artiodactyla","Cervidae","Cervus","Cervus duvaucelii","Crepuscular",64.25,"Herbivore"
"Artiodactyla","Cervidae","Cervus","Cervus elaphus","Crepuscular",17.5,"Herbivore"
"Artiodactyla","Cervidae","Cervus","Cervus nippon","Crepuscular",7.5,"Herbivore"
"Rodentia","Echimyidae","Chaetomys","Chaetomys subspinosus","Nocturnal",1,"Herbivore"
"Primates","Cheirogaleidae","Cheirogaleus","Cheirogaleus major","Nocturnal",1,"Omnivore"
"Primates","Cheirogaleidae","Cheirogaleus","Cheirogaleus medius","Nocturnal",1,"Omnivore"
"Didelphimorphia","Didelphidae","Chironectes","Chironectes minimus","Nocturnal",1,"Omnivore"
"Primates","Cebidae","Chiropotes","Chiropotes albinasus","Diurnal",22.5,"Herbivore"
"Primates","Cebidae","Chiropotes","Chiropotes satanas","Diurnal",14.4,"Herbivore"
"Primates","Cercopithecidae","Chlorocebus","Chlorocebus aethiops","Diurnal",19.2,"Herbivore"
"Insectivora","Chrysochloridae","Chrysochloris","Chrysochloris asiatica","Crepuscular",1,"Carnivore"
"Insectivora","Chrysochloridae","Chrysochloris","Chrysochloris stuhlmanni","Nocturnal",1,"Carnivore"
"Insectivora","Chrysochloridae","Chrysospalax","Chrysospalax trevelyani","Crepuscular",1,"Carnivore"
"Artiodactyla","Bovidae","Connochaetes","Connochaetes gnou","Crepuscular",26.75,"Herbivore"
"Artiodactyla","Bovidae","Connochaetes","Connochaetes taurinus","Crepuscular",20,"Herbivore"
"Insectivora","Soricidae","Crocidura","Crocidura hirta","Crepuscular",1,"Omnivore"
"Insectivora","Soricidae","Crocidura","Crocidura luna","Crepuscular",1,"Carnivore"
"Rodentia","Bathyergidae","Cryptomys","Cryptomys damarensis","Crepuscular",22.5,"Herbivore"
"Rodentia","Bathyergidae","Cryptomys","Cryptomys hottentotus","Crepuscular",10,"Herbivore"
"Xenarthra","Myrmecophagidae","Cyclopes","Cyclopes didactylus","Nocturnal",1,"Carnivore"
"Rodentia","Sciuridae","Cynomys","Cynomys gunnisoni","Diurnal",5.65,"Omnivore"
"Rodentia","Sciuridae","Cynomys","Cynomys ludovicianus","Diurnal",6.13,"Herbivore"
"Rodentia","Echimyidae","Dactylomys","Dactylomys dactylinus","Nocturnal",2,"Omnivore"
"Artiodactyla","Cervidae","Dama","Dama dama","Crepuscular",10.5,"Herbivore"
